ano;region;nacidos_vivos;tasa_natalidad_1000;porcentajes_madres_extranjeras;;;;
2024;tarapaca;;10,5;;;;;
2024;arica_parinacota;;9,1;;;;;
2024;antofagasta;;8,8;;;;;
2024;maule;;8;;;;;
2024;atacama;;8,9;;;;;
2024;la_araucania;;8,4;;;;;
2024;ohiggins;;8,1;;;;;
2024;los_lagos;;8,2;;;;;
2024;biobio;;7,7;;;;;
2024;aysen;;7,4;;;;;
2024;nuble;;7,9;;;;;
2024;coquimbo;;7,6;;;;;
2024;los_rios;;7,7;;;;;
2024;metropolitana;;7,2;;;;;
2024;valparaiso;;7,3;;;;;
2024;magallanes;;6,8;;;;;
2023;tarapaca;;11,6;;;;;
2023;arica_parinacota;;10,6;;;;;
2023;antofagasta;;9,8;;;;;
2023;maule;;9,3;;;;;
2023;atacama;;9,8;;;;;
2023;la_araucania;;9,4;;;;;
2023;ohiggins;;8,9;;;;;
2023;los_lagos;;9,1;;;;;
2023;biobio;;8,8;;;;;
2023;aysen;;9;;;;;
2023;nuble;;9,1;;;;;
2023;coquimbo;;8,6;;;;;
2023;los_rios;;8,8;;;;;
2023;metropolitana;;8,2;;;;;
2023;valparaiso;;8,4;;;;;
2023;magallanes;;7,9;;;;;
2022;tarapaca;5.023;12,7;47,9;;;;
2022;arica_parinacota;2.916;11,3;38,1;;;;
2022;antofagasta;7.484;10,6;40,6;;;;
2022;maule;11.837;10,3;10,3;;;;
2022;atacama;3.265;10,3;20,1;;;;
2022;la_araucania;10.405;10,2;3,9;;;;
2022;ohiggins;10.072;10;14,4;;;;
2022;los_lagos;8.955;9,9;7,9;;;;
2022;biobio;16.115;9,6;5,9;;;;
2022;aysen;1.023;9,5;6,5;;;;
2022;nuble;4.838;9,4;5,7;;;;
2022;coquimbo;8.019;9,4;12,8;;;;
2022;los_rios;3.780;9,3;3;;;;
2022;metropolitana;76.129;9,2;26,3;;;;
2022;valparaiso;17.903;9;12,6;;;;
2022;magallanes;1.539;8,5;13,4;;;;
2021;tarapaca;4.396;11,3;44,9;;;;
2021;arica_parinacota;2.553;10;35,1;;;;
2021;antofagasta;6.748;9,6;37,4;;;;
2021;maule;10.689;9,4;8,9;;;;
2021;atacama;2.920;9,2;16,3;;;;
2021;la_araucania;9.860;9,7;3,4;;;;
2021;ohiggins;9.258;9,3;11,4;;;;
2021;los_lagos;8.370;9,3;7,3;;;;
2021;biobio;14.639;8,8;5,6;;;;
2021;aysen;982;9,1;5,7;;;;
2021;nuble;4.481;8,7;5;;;;
2021;coquimbo;7.564;8,9;10,8;;;;
2021;los_rios;3.435;8,4;3,6;;;;
2021;metropolitana;73.062;8,9;24,5;;;;
2021;valparaiso;16.822;8,5;11,1;;;;
2021;magallanes;1.494;8,3;13,6;;;;
2020;tarapaca;4.709;12,3;39,2;;;;
2020;arica_parinacota;2.886;11,5;31,7;;;;
2020;antofagasta;7.434;10,8;33,5;;;;
2020;maule;11.667;10,3;8,7;;;;
2020;atacama;3.247;10,3;14;;;;
2020;la_araucania;10.441;10,3;3,8;;;;
2020;ohiggins;10.245;10,4;11,3;;;;
2020;los_lagos;8.958;10,1;7;;;;
2020;biobio;16.006;9,6;5,1;;;;
2020;aysen;1.059;9,9;5,5;;;;
