Año;grupo-edad-madre;nacidos-vivos;tasa-especifica-fecundidad;Nacimientos corregidos por año;Porcentaje del total;
1992;15-19;40.568;64,4;294.218;13,79%;
1992;20-24;80.532;132,5;294.218;27,37%;
1992;25-29;8.313;135,4;294.218;2,83%;
1992;30-34;57.046;100,8;294.218;19,39%;
1992;35-39;26.535;52,1;294.218;9,02%;
1992;40-44;5.994;14,4;294.218;2,04%;
1992;45-49;413;1,2;294.218;0,14%;
1993;15-19;40.307;64,0;289.419;13,93%;
1993;20-24;78.434;129,4;289.419;27,10%;
1993;25-29;79.828;129,4;289.419;27,58%;
1993;30-34;57.376;99,4;289.419;19,82%;
1993;35-39;26.738;51,3;289.419;9,24%;
1993;40-44;6.314;14,4;289.419;2,18%;
1993;45-49;422;1,2;289.419;0,15%;
1994;15-19;40.474;64,3;285.228;14,19%;
1994;20-24;77.568;127,4;285.228;27,20%;
1994;25-29;76.609;124,1;285.228;26,86%;
1994;30-34;57.072;97,0;285.228;20,01%;
1994;35-39;26.964;50,7;285.228;9,45%;
1994;40-44;6.227;13,6;285.228;2,18%;
1994;45-49;334;0,9;285.228;0,12%;
1995;15-19;40.321;64,3;275.756;14,62%;
1995;20-24;74.298;120,9;275.756;26,94%;
1995;25-29;71.625;116,5;275.756;25,97%;
1995;30-34;55.588;92,9;275.756;20,16%;
1995;35-39;2.719;50,1;275.756;0,99%;
1995;40-44;6.416;13,4;275.756;2,33%;
1995;45-49;318;0,8;275.756;0,12%;
1996;15-19;40.806;65,1;272.161;14,99%;
1996;20-24;71.887;115,7;272.161;26,41%;
1996;25-29;69.463;113,7;272.161;25,52%;
1996;30-34;55.227;91,0;272.161;20,29%;
1996;35-39;28.005;50,6;272.161;10,29%;
1996;40-44;6.465;13,1;272.161;2,38%;
1996;45-49;308;0,8;272.161;0,11%;
1997;15-19;41.601;66,1;265.493;15,67%;
1997;20-24;67.739;108,0;265.493;25,51%;
1997;25-29;67.307;110,9;265.493;25,35%;
1997;30-34;53.602;87,5;265.493;20,19%;
1997;35-39;28.364;50,3;265.493;10,68%;
1997;40-44;6.547;12,9;265.493;2,47%;
1997;45-49;333;0,8;265.493;0,13%;
1998;15-19;42.289;66,7;261.803;16,15%;
1998;20-24;6.439;102,3;261.803;2,46%;
1998;25-29;66.584;109,9;261.803;25,43%;
1998;30-34;52.892;85,8;261.803;20,20%;
1998;35-39;28.645;49,8;261.803;10,94%;
1998;40-44;6.663;12,9;261.803;2,55%;
1998;45-49;340;0,8;261.803;0,13%;
1999;15-19;40.991;64,2;254.096;16,13%;
1999;20-24;60.102;95,5;254.096;23,65%;
1999;25-29;65.012;106,8;254.096;25,59%;
1999;30-34;51.783;84,0;254.096;20,38%;
1999;35-39;29.112;49,6;254.096;11,46%;
1999;40-44;6.791;12,8;254.096;2,67%;
1999;45-49;305;0,7;254.096;0,12%;
2000;15-19;4.084;63,6;252.155;1,62%;
2000;20-24;5.789;92,3;252.155;2,30%;
2000;25-29;64.649;105,2;252.155;25,64%;
