Año,Nacidos vivos,Tasa global Fecundidad,Tasa bruta natalidad
1992,294.218,"2,48","21,5"
1993,289.419,"2,43","20,8"
1994,285.228,"2,38","20,2"
1995,275.76,"2,35","19,2"
1996,272.163,"2,28","18,6"
1997,265.493,"2,20","17,9"
1998,261.802,"2,15","17,5"
1999,254.096,"2,07","16,7"
2000,252.155,"2,05","16,4"
2001,248.651,"2,01","16,0"
2002,241.027,"1,93","15,3"
2003,236.223,"1,89","14,8"
2004,232.588,"1,84","14,5"
2005,232.092,"1,83","14,3"
2006,233.104,"1,80","14,2"
2007,242.054,"1,83","14,6"
2008,248.366,"1,85","14,8"
2009,253.574,"1,86","15,0"
2010,251.199,"1,84","14,7"
2011,248.879,"1,82","14,4"
2012,243.858,"1,80","14,0"
2013,242.862,"1,79","13,8"
2014,252.194,"1,77","14,2"
2015,245.406,"1,74","13,6"
2016,232.616,"1,69","12,8"
2017,219.494,"1,56","11,9"
2018,222.088,"1,54","11,8"
2019,210.413,"1,43","11,0"
2020,195.231,"1,31","10,0"
2021,177.273,"1,18","9,0"
2022,189.303,"1,26","9,6"
2023,171.992,"1,17","8,7"
2024,154.441,"1,03","7,7"
