AÑO,Ocurridos e inscritos,Corregidos/¹
1974,250.462,278.165
1975,237.966,266.513
1976,229.231,256.641
1977,216.872,242.847
1978,218.581,245.763
1979,223.098,251.745
1980,234.662,262.03
1981,251.569,273.882
1982,256.503,278
1983,243.712,259.888
1984,251.765,262.317
1985,248.879,263.039
1986,259.347,272.941
1987,265.774,279.367
1988,281.752,297.823
1989,288.608,306.08
1990,292.146,309.22
1991,284.483,300.74
1992,279.098,294.218
1993,275.916,289.419
1994,273.766,285.228
1995,265.932,275.76
1996,264.793,272.163
1997,259.959,265.493
1998,257.105,261.802
1999,250.674,254.096
2000,248.893,252.155
2001,246.116,248.651
2002,238.981,241.027
2003,234.486,236.223
2004,230.352,232.588
2005,230.831,232.092
2006,231.383,233.104
2007,240.569,242.054
2008,246.581,248.366
2009,252.24,253.574
2010,250.643,251.199
2011,247.358,248.879
2012,243.635,243.858
2013,242.005,242.862
2014,250.997,252.194
2015,244.67,245.406
2016,231.749,232.616
2017,219.186,219.494
2018,221.731,222.088
2019,210.188,210.413
2020,194.978,195.231
