Indice;;;;;;;;
1.2.2-01:;NACIDOS VIVOS Y CORREGIDOS, MATRIMONIOS, ACUERDO DE UNIÓN CIVIL, DEFUNCIONES GENERALES: MENORES DE UN AÑO, MENORES DE 28 DÍAS Y DEFUNCIONES FFETALES, SEGÚN AÑO DE OCURRENCIA, 1974 - 2020;;;;;;;
;Nacidos vivos;;;;;Defunciones;;
AÑO;Ocurridos e inscritos;Corregidos/¹;Matrimonios;Acuerdo de Unión Civil;Defunciones generales;Menores de 1 año;Menores de 28 días;Defunciones fetales
1974;250.462;278.165;79.954;;78.493;17.202;6.891;4.340
1975;237.966;266.513;76.205;;74.481;14.427;6.369;3.886
1976;229.231;256.641;73.575;;80.537;13.663;5.811;3.257
1977;216.872;242.847;74.302;;73.446;11.445;4.881;2.909
1978;218.581;245.763;77.499;;72.436;9.220;4.297;2.534
1979;223.098;251.745;80.072;;74.528;8.897;4.388;2.361
1980;234.662;262.030;86.001;;74.109;8.158;4.120;2.257
1981;251.569;273.882;90.564;;69.971;7.141;3.460;2.032
1982;256.503;278.000;80.115;;69.887;6.483;3.241;2.003
1983;243.712;259.888;82.483;;74.296;5.705;2.799;1.542
1984;251.765;262.317;87.261;;74.669;5.182;2.449;1.612
1985;248.879;263.039;91.099;;73.534;5.105;2.582;1.522
1986;259.347;272.941;93.995;;72.209;5.220;2.655;1.746
1987;265.774;279.367;95.531;;70.559;5.182;2.691;1.823
1988;281.752;297.823;103.484;;74.435;5.598;2.814;1.985
1989;288.608;306.080;103.710;;75.453;5.183;2.767;1.960
1990;292.146;309.220;98.702;;78.434;4.915;2.608;1.789
1991;284.483;300.740;91.732;;74.862;4.385;2.360;1.754
1992;279.098;294.218;89.370;;74.090;4.209;2.254;1.667
1993;275.916;289.419;92.821;;76.261;3.792;2.007;1.535
1994;273.766;285.228;91.555;;75.445;3.454;1.971;1.321
1995;265.932;275.760;87.205;;78.531;3.107;1.695;1.277
1996;264.793;272.163;83.547;;79.123;3.095;1.743;1.244
1997;259.959;265.493;78.077;;78.472;2.732;1.569;1.240
1998;257.105;261.802;73.456;;80.257;2.793;1.614;1.161
1999;250.674;254.096;69.765;;81.984;2.654;1.547;1.080
2000;248.893;252.155;66.607;;78.814;2.336;1.467;1.116
2001;246.116;248.651;64.088;;81.873;2.159;1.290;1.278
2002;238.981;241.027;60.971;;81.079;1.964;1.249;1.197
2003;234.486;236.223;56.659;;83.672;1.935;1.212;1.404
2004;230.352;232.588;53.403;;86.138;2.034;1.305;1.510
2005;230.831;232.092;53.842;;86.102;1.911;1.254;1.841
2006;231.383;233.104;58.155;;85.639;1.839;1.249;2.124
2007;240.569;242.054;57.792;;93.000;2.009;1.356;2.165
2008;246.581;248.366;56.112;;90.168;1.948;1.369;2.167
2009;252.240;253.574;56.127;;91.965;1.997;1.359;2.252
2010;250.643;251.199;60.362;;97.930;1.862;1.283;2.166
2011;247.358;248.879;64.768;;94.985;1.908;1.346;2.098
2012;243.635;243.858;63.736;;98.711;1.812;1.307;2.064
2013;242.005;242.862;61.446;;99.770;1.692;1.253;2.090
2014;250.997;252.194;64.868;;101.960;1.825;1.311;2.154
2015;244.670;245.406;61.744;;103.327;1.683;1.250;2.028
2016;231.749;232.616;62.464;;104.026;1.629;1.213;1.992
2017;219.186;219.494;61.320;6.222;106.388;1.557;1.202;1.806
2018;221.731;222.088;63.187;7.256;106.796;1.473;1.106;2.006
2019;210.188;210.413;61.596;8.149;109.658;1.371;1.007;1.910
2020;194.978;195.231;37.647;5.328;126.169;1.088;832;1.614
"1/ En esta tabla, con acuerdo del Ministerio de Salud, se corrige con el método de las ""inscripciones tardías de nacimientos"", actualizado solo el año 2020.";;;;;;;;
"Los años anteriores conservan sus valores fijos- históricos; sin embargo, en el anexo B de este anuario, se dispone de los valores corregidos de nacimientos.
";;;;;;;;
FUENTE: Instituto Nacional de Estadísticas (INE);;;;;;;;
;;;;;;;;
